q,impact,n,symbol
0.00182138324617525,0.05090961862549917,893,DHI
0.0021556938162176752,0.0542744600234351,892,DHI
0.002587934344689439,0.05988214971334852,893,DHI
0.003185712419900075,0.06715494743457937,893,DHI
0.004175971045512805,0.07253911493668012,894,DHI
0.008287496832340969,0.07943918944769549,892,DHI
0.00030558454966346434,0.0264230479460004,729,DLR
0.000698240832323068,0.032288745695861036,728,DLR
0.0009859946493319194,0.03903978901158604,728,DLR
0.0012763294401951948,0.04457786949321286,728,DLR
0.0015740922848493143,0.04666780481601097,728,DLR
0.0019102035863138372,0.04972244662147851,729,DLR
0.002292844201280546,0.05224846852200612,728,DLR
0.002782686203104737,0.056914396268199496,728,DLR
0.00336093138433808,0.06092158298004149,728,DLR
0.004163222966941944,0.06364159588492928,728,DLR
0.005545693331638941,0.0757005443737028,728,DLR
0.010592453227905993,0.08033258613202506,729,DLR
0.0003425330035237448,0.030748093193190478,594,DOC
0.0006486482751879907,0.03986206512737401,593,DOC
0.0009136386776496814,0.045618771022685106,593,DOC
0.001178787041440565,0.048105758703167904,593,DOC
0.0014748315257829276,0.050007697916676995,593,DOC
0.0018050423809425527,0.058113171668619304,594,DOC
0.0021526154840531115,0.05497955973580465,593,DOC
0.002598856604772919,0.06377288489166777,593,DOC
0.0031730554637217296,0.06845323566487381,593,DOC
0.003980548534708447,0.0716320140918404,593,DOC
0.0055476882830418316,0.07638180606113108,593,DOC
0.01253547099115155,0.09673383348634353,594,DOC
0.00026976320527265555,0.028521704178713393,441,DVA
0.0006674557237854161,0.032745222483862406,436,DVA
0.001105379989726559,0.038492461132706386,439,DVA
0.0015251834255607692,0.03903084243652101,438,DVA
0.0019591848304922194,0.04551685766233051,438,DVA
0.002411567162652156,0.04823620113884652,438,DVA
0.002948973798306999,0.05033253000237583,438,DVA
0.0035739197902763336,0.054454299991776284,439,DVA
0.004441178909029215,0.05699893927681725,438,DVA
0.005575917710282348,0.0671486996859615,438,DVA
0.0074755241152455595,0.0691492868631775,438,DVA
0.013417174273355061,0.0737259837803125,439,DVA
0.00035437528171647066,0.023017197657867607,984,DVN
0.00056345605382646,0.02847577238195197,984,DVN
0.0007179891831924062,0.03238921542981196,984,DVN
0.0008642515438051713,0.035041014382922044,984,DVN
0.0010096516507805031,0.03945843944014635,984,DVN
0.001167204405309226,0.041595470193660715,984,DVN
0.0013493388342349314,0.04535943762377925,984,DVN
0.0015683681984821818,0.04895237622556679,984,DVN
0.0018436408380209767,0.05517572970068848,984,DVN
0.0022196190598719676,0.06252698879395095,984,DVN
0.002890419151119996,0.06942021778791505,984,DVN
0.005532365919451823,0.09315415536872307,984,DVN
0.0002716228031910547,0.021835982652277718,1071,EA
0.0005155082031890004,0.030606165314943607,1069,EA
0.0007180527563681306,0.038166945626669994,1070,EA
0.0009106121596789912,0.03943369089721208,1069,EA
0.001102855942149234,0.04819139438546615,1070,EA
0.0013083420344710858,0.04754832922046672,1070,EA
0.0015279938701656336,0.05218020010083067,1069,EA
